IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
44.243.83.13,443,443,true,PDX,North America,US,Portland,215,10.62
16.171.175.204,443,443,true,CPH,Europe,DK,Copenhagen,229,10.61
18.134.9.176,443,443,true,LHR,Europe,GB,London,297,10.61
34.209.237.6,443,443,true,PDX,North America,US,Portland,335,10.61
18.175.54.221,443,443,true,LHR,Europe,GB,London,331,10.61
34.216.207.73,443,443,true,PDX,North America,US,Portland,208,10.61
54.171.181.214,8080,443,true,DUB,Europe,IE,Dublin,310,10.61
67.226.223.148,443,443,true,LHR,Europe,GB,London,339,10.61
51.20.18.103,443,443,true,CPH,Europe,DK,Copenhagen,365,10.61
35.90.79.43,443,443,true,PDX,North America,US,Portland,209,10.60
52.32.210.106,443,443,true,PDX,North America,US,Portland,240,10.60
44.224.24.91,443,443,true,SEA,North America,US,Seattle,214,10.60
34.217.61.124,443,443,true,PDX,North America,US,Portland,225,10.60
51.20.184.1,2096,443,true,ARN,Europe,SE,Stockholm,227,10.60
67.226.223.140,80,443,true,LHR,Europe,GB,London,178,10.60
34.208.250.126,443,443,true,PDX,North America,US,Portland,254,10.60
34.219.204.56,443,443,true,PDX,North America,US,Portland,265,10.60
35.165.57.245,443,443,true,PDX,North America,US,Portland,224,10.59
34.220.67.91,443,443,true,PDX,North America,US,Portland,269,10.59